DIM1,DIM2
3.696803,49.96336
-14.74868,-27.092396
41.261227,-5.5242558
25.688902,-12.989131
8.317702,22.633497
42.338573,-4.4263105
41.883038,-5.341596
22.610516,5.5680366
41.524826,-4.602133
42.184586,-4.258673
34.03704,-10.38243
7.0784335,-6.0544415
7.079092,-6.0545554
-14.74923,-27.09458
41.911533,-4.8468986
27.495869,-23.169928
27.270031,-23.963697
26.932114,-22.91607
26.69354,-23.464857
-17.937365,19.304487
-17.937363,19.30449
26.864304,-23.305975
25.397812,-23.985813
25.63597,-24.376593
35.62419,-8.815241
25.422857,-23.610104
-12.263175,14.530735
4.0710907,47.8852
1.6232421,-12.193114
8.372362,51.481003
-4.0837436,42.70197
23.250252,-25.610153
19.246567,27.889135
20.301748,27.162764
13.635414,24.513237
21.305098,26.019293
15.525195,28.323605
16.318922,28.513596
18.395525,27.280962
15.660939,28.099195
14.60709,26.222612
17.000809,27.0533
18.301147,24.410885
17.116285,27.00629
14.603038,26.22472
20.521242,25.089775
20.534664,25.595919
23.008461,23.753305
21.090918,27.837093
0.043455444,-33.42716
22.563591,26.76406
20.457344,26.58472
20.077879,29.538065
23.008461,23.753305
15.6034565,26.888145
17.173767,16.683224
13.654442,24.537989
14.693438,26.141747
20.24297,25.545898
15.570675,24.335743
22.691874,23.202572
19.734394,23.189528
16.784317,26.05532
17.537231,26.932669
23.182028,23.822433
21.083145,25.664234
18.330425,24.41724
25.689295,-12.98897
22.026707,10.844545
-3.1106377,-35.616955
-18.008183,-20.329481
-8.302321,-33.28567
6.92374,-19.235397
-8.095892,-8.128259
3.8803267,-23.207966
21.632784,-18.269339
5.7552094,-18.257559
-6.346839,-11.719665
7.6858478,-21.34555
-5.7100086,-10.127053
25.024385,-17.64204
6.967863,-21.428291
6.315098,-20.00769
18.506134,-12.649653
4.2050714,-18.89247
5.403264,-21.655426
6.967863,-21.428291
-29.642313,-18.676989
17.890741,-13.655851
17.931324,-14.773993
23.536434,-17.983177
-27.650972,-18.671253
3.5283577,-22.015926
14.761176,5.40662
7.6858478,-21.34555
5.064241,-19.144728
17.890886,-13.6556225
3.0549374,-23.643036
-5.9308414,-11.67601
7.776624,-19.341516
-6.5081854,-9.248507
1.8453816,-24.278374
-8.656427,0.39256772
-9.861581,4.3942704
-20.21939,-20.77226
-13.640663,-7.789859
-22.683878,-4.808243
0.65293723,19.819279
14.66325,-26.663063
-21.160917,-0.017638737
-21.328995,-0.12557957
-14.9529505,-35.38548
-14.070082,-35.52001
-8.431747,-24.691368
-13.651165,-35.298298
-21.371178,-0.12115711
-23.07918,0.30515844
-3.942784,32.316444
-13.752648,-35.422775
-15.031844,-35.359486
-0.5890443,19.70858
12.692269,26.601137
25.362953,-26.508905
-12.518021,10.766689
23.453615,-22.492125
-9.255502,-3.3947022
-7.5031285,5.0849524
-9.234433,-3.41647
21.30316,-0.40572792
-11.416535,-3.9988582
18.180418,-22.288757
23.53542,-17.982534
25.734617,-21.335842
-7.055424,12.418575
-11.594586,16.79102
23.254408,-16.993752
25.925032,-21.692488
-5.697911,14.223826
-2.237544,-20.919167
23.820732,-0.024267834
-8.554484,-4.0213056
-11.331424,-3.162631
-11.021596,14.867062
29.07437,-19.287481
-11.648563,-4.385991
28.450687,-27.455986
18.85573,-20.398962
18.09777,6.4149137
-9.103915,-4.173127
25.2335,-19.566753
24.742456,-0.2597745
-14.824655,12.89309
-15.852094,-1.7204467
28.983444,-19.165884
20.30628,-19.9755
-2.2771602,10.080165
29.71847,-22.428995
13.411484,-2.672134
27.845425,-27.21661
-9.082448,-4.212323
-25.359118,7.266091
-22.124123,-7.587191
-10.667973,-13.14188
-10.60046,-12.0683565
-11.033525,-18.293324
-12.829886,-11.59074
-12.047923,-11.831791
-10.635542,-12.893344
-12.762157,-11.610436
-23.764154,-15.603428
-25.850677,5.6291184
-3.2684915,-15.182395
-2.6939077,-15.742451
-7.79689,-15.748995
-3.6442819,-16.41522
-2.6938565,-15.742565
-14.372039,-34.218933
-11.684242,2.2500036
-11.841464,2.0562239
-15.817998,-36.194786
-6.627216,-23.432228
-11.085601,-39.26838
-24.651373,5.9861045
-13.802939,-36.624203
-13.5233965,-37.68219
-8.776142,-38.277054
-13.302432,-36.83244
-14.390635,-37.4804
-3.9500444,10.039836
-0.6163465,4.591302
-4.9814296,7.448892
-17.852549,7.726741
2.3021398,4.600667
-7.7452397,8.747514
-11.842802,-35.80531
-26.156744,-9.333199
-24.452087,6.1798887
18.630438,-24.968931
-37.023014,-14.517445
6.8996844,-11.00112
7.0559125,-10.63451
-7.1652517,3.931348
-37.493397,-13.692186
-7.533687,-15.060298
1.2360679,17.902472
-10.092729,-39.124302
16.645605,25.3215
-38.90341,-13.404197
-40.009144,-16.084469
-12.963439,-0.4567588
-17.363523,-20.246073
6.633755,-7.239184
-18.038643,-10.764865
-21.111137,18.819363
-14.394866,-36.90854
-8.448388,-24.743532
-17.295279,-15.548779
-24.4924,-11.963564
-14.908279,-37.872776
5.4246397,-3.0371845
-23.350832,-16.250235
-0.91072434,-7.670149
6.639678,-2.1457078
5.7622046,-1.1364037
-1.9679773,-9.067437
6.365877,-1.4010439
-1.6439948,-9.357738
2.1549513,21.743042
4.846562,-1.7062901
6.9753165,-1.5871668
-0.8205465,-8.823394
-1.2915673,-9.038446
5.8027506,-2.0843453
-1.4837786,-7.722313
-18.594633,-12.926054
-21.466457,-21.503687
6.976797,-2.635975
-1.8408124,-7.5867352
5.8027506,-2.0843453
5.8027506,-2.0843453
6.173778,-2.9655423
-0.9740695,-8.80987
-15.681911,-16.186354
-15.676818,10.291213
-22.604277,22.891418
-19.800865,23.950336
-21.644075,24.309507
-22.69648,22.779663
-20.341244,22.90478
-19.537977,18.908182
-20.8572,20.627562
-20.137701,24.521984
-21.494528,23.11495
-20.912565,24.356026
